INSTNM,ADDR,CITY,STABBR,ZIP,GENTELE,OPEFLAG,WEBADDR,ICLEVEL,CONTROL,HLOFFER,HBCU,HOSPITAL,MEDICAL,LOCALE,OPENPUBL,CLOSEDAT,IALIAS,INSTCAT,CARNEGIE,INSTSIZE,COUNTYCD,COUNTYNM,LONGITUD,LATITUDE
Community College of the Air Force,100 S Turner Blvd,Montgomery,AL,36114-0011,3346495000,3,http://www.au.af.mil/au/ccaf/,2,1,4,2,-1,2,12,0,-2,CCAF,4,40,-1,1101,Montgomery County,-86.244501,32.404904
Alabama A & M University,4900 Meridian St,Normal,AL,35762,2563725000,1,http://www.aamu.edu/,1,1,9,1,2,2,12,1,-2,AAMU,2,16,3,1089,Madison County,-86.57352,34.78422
University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,2059344011,1,http://www.uab.edu,1,1,9,2,1,1,12,1,-2, ,2,15,4,1073,Jefferson County,-86.80446,33.50096
Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,33438770007528,1,http://www.amridgeuniversity.edu,1,2,9,2,2,2,12,1,-2,Southern Christian University |Regions University,2,51,1,1101,Montgomery County,-86.171548,32.365021
University of Alabama at Huntsville,301 Sparkman Dr,Huntsville,AL,35899,2568246120,1,http://www.uah.edu,1,1,9,2,2,2,12,1,-2,UAHuntsville |UAH |University of Alabama Huntsville |Unversity of Alabama at Huntsville,2,16,3,1089,Madison County,-86.643936,34.723896
Alabama State University,915 S Jackson Street,Montgomery,AL,36101-0271,3342294400,1,http://www.alasu.edu,1,1,9,1,2,2,12,1,-2, ,2,21,3,1101,Montgomery County,-86.296158,32.36623
University of Alabama System Office,401 Queen City Ave,Tuscaloosa,AL,35401,2053489731,2,http://www.uasystem.ua.edu,1,1,9,2,2,-2,13,1,-2, ,-2,-3,-2,1125,Tuscaloosa County,-87.560429,33.213047
The University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0166,2053486010,1,http://www.ua.edu/,1,1,9,2,2,2,13,1,-2, ,2,15,5,1125,Tuscaloosa County,-87.54234,33.208811
Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,35010,2562346346,1,http://www.cacc.edu,2,1,3,2,2,2,41,1,-2, ,4,40,2,1123,Tallapoosa County,-85.947875,32.924383
Athens State University,300 N Beaty St,Athens,AL,35611,2562338100,1,http://www.athens.edu,1,1,5,2,2,2,32,1,-2, ,2,32,2,1083,Limestone County,-86.967621,34.805512
Auburn University at Montgomery,7440 East Drive,Montgomery,AL,36117-3596,3342443000,1,http://www.aum.edu,1,1,8,2,2,2,12,1,-2,AUM|Auburn University Montgomery|Auburn University at Montgomery|Auburn Montgomery,2,21,3,1101,Montgomery County,-86.17771,32.36839
Auburn University,"Auburn, Alabama",Auburn University,AL,36849,3348444000,1,http://www.auburn.edu,1,1,9,2,2,1,13,1,-2, ,2,15,5,1081,Lee County,-85.486107,32.603383
Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254,2052264600,1,http://www.bsc.edu,1,2,7,2,2,2,12,1,-2, ,2,31,2,1073,Jefferson County,-86.850359,33.517202
Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,36869,3342914900,1,http://www.cv.edu,2,1,3,2,2,2,22,1,-2,CVCC,4,40,2,1113,Russell County,-85.028995,32.428862
Concordia College-Selma,1804 Green St,Selma,AL,36701,3345269141,1,http://www.concordiaselma.edu,1,2,5,1,2,2,33,1,-2, ,2,33,1,1047,Dallas County,-87.0177,32.4254
South University-Montgomery,5355 Vaughn Road,Montgomery,AL,36116-1120,3343958800,1,http://southuniversity.edu,1,3,7,2,-2,2,12,1,-2, ,3,40,1,1101,Montgomery County,-86.217741,32.342503
Enterprise State Community College,600 Plaza Drive,Enterprise,AL,36330-1300,3343472623,1,http://www.escc.edu,2,1,3,2,2,2,32,1,-2,Enterprise-Ozark Community College (Former Name) |Enterprise State Junior College (Former Name),4,40,2,1031,Coffee County,-85.835009,31.299651
James H Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,2515802100,1,http://www.faulknerstate.edu,2,1,3,2,2,2,32,1,-2, ,4,40,2,1003,Baldwin County,-87.776669,30.852589
Faulkner University,5345 Atlanta Hwy,Montgomery,AL,36109-3378,3342725820,1,http://www.faulkner.edu,1,2,9,2,2,2,12,1,-2,Faulkner,2,32,2,1101,Montgomery County,-86.216358,32.381918
Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,35903,2565498200,1,http://www.gadsdenstate.edu,2,1,3,1,2,2,13,1,-2,GSCC | Gadsden State | Gadsden Community College,4,40,3,1055,Etowah County,-85.98997,33.994979
George C Wallace State Community College-Dothan,1141 Wallace Drive,Dothan,AL,36303-9234,3349833521,1,http://www.wallace.edu,2,1,3,2,2,2,13,1,-2,WALLACE DOTHAN|WCCD,4,40,2,1045,Dale County,-85.46796,31.31592
George C Wallace State Community College-Hanceville,801 Main St NW,Hanceville,AL,35077-2000,2563528000,1,http://www.wallacestate.edu,2,1,3,2,2,2,41,1,-2,Wallace State Community College |Wallace State - Hanceville,4,40,3,1043,Cullman County,-86.778259,34.072755
George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,AL,36703-2808,3348769227,1,http://www.wccs.edu,2,1,3,2,2,2,41,1,-2,Wallace Community College - Selma,4,40,2,1047,Dallas County,-87.014531,32.444291
Herzing University-Birmingham,280 West Valley Ave,Birmingham,AL,35209,2059162800,1,http://www.herzing.edu/birmingham,1,3,5,2,-2,2,21,1,-2, ,3,40,1,1073,Jefferson County,-86.832344,33.468136
Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,36106-2148,3348334222,1,http://www.huntingdon.edu,1,2,5,2,2,2,12,1,-2, ,2,31,2,1101,Montgomery County,-86.285285,32.352002
Heritage Christian University,3625 Helton Dr,Florence,AL,35630-9977,2567666610,1,http://www.hcu.edu,1,2,7,2,2,2,41,1,-2, ,2,51,1,1077,Lauderdale County,-87.660709,34.860679
J F Drake State Technical College,3421 Meridian St N,Huntsville,AL,35811,2565398161,1,http://www.drakestate.edu,2,1,3,1,2,2,12,1,-2, ,4,40,2,1089,Madison County,-86.572561,34.771174
J F Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,3342855177349,5,http://www.ingram.cc.al.us,2,1,3,2,2,2,41,0,-2, ,4,40,1,1051,Elmore County,-86.381859,32.576179
Jacksonville State University,700 Pelham Road North,Jacksonville,AL,36265,2567825781,1,http://www.jsu.edu/,1,1,8,2,2,2,23,1,-2, ,2,21,3,1015,Calhoun County,-85.763653,33.824096
Jefferson Davis Community College,220 Alco Dr,Brewton,AL,36426,2518674832,1,http://www.jdcc.edu,2,1,3,2,2,2,32,1,-2,JDCC,4,40,2,1053,Escambia County,-87.08423,31.10199
Jefferson State Community College,2601 Carson Rd,Birmingham,AL,35215-3098,2058531200,1,http://www.jeffstateonline.com,2,1,3,2,2,2,12,1,-2,Jeff State | JSCC | Jefferson State,4,40,3,1073,Jefferson County,-86.709463,33.651085
John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,AL,35671,2563062500,1,http://www.calhoun.edu,2,1,3,2,2,2,41,1,-2,Calhoun Community College,4,40,4,1083,Limestone County,-86.94908,34.64771
Judson College,302 Bibb St,Marion,AL,36756,3346835100,1,http://www.judson.edu,1,2,5,2,2,2,43,1,-2, ,2,31,1,1105,Perry County,-87.316603,32.629662
Lawson State Community College-Birmingham Campus,3060 Wilson Rd SW,Birmingham,AL,35221-1717,2059252515,1,http://www.lawsonstate.edu,2,1,3,1,2,2,12,1,-2, ,4,40,2,1073,Jefferson County,-86.888372,33.449443
University of West Alabama,Station One,Livingston,AL,35470,2056523400,1,http://www.uwa.edu,1,1,7,2,2,2,43,1,-2, ,2,21,3,1119,Sumter County,-88.18725,32.5843
Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL,36420-1418,3342226591,1,http://www.lbwcc.edu,2,1,3,2,2,2,41,1,-2,LBW Community College |LBWCC |LBW,4,40,2,1039,Covington County,-86.451742,31.321861
Marion Military Institute,1101 Washington St,Marion,AL,36756,8006641842,1,http://www.marionmilitary.edu,2,1,3,2,2,2,43,1,-2, ,4,40,1,1105,Perry County,-87.318077,32.622556
Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064-2621,20592910001645,1,http://www.miles.edu,1,2,5,1,2,2,21,1,-2, ,2,32,2,1073,Jefferson County,-86.90718,33.48072
University of Mobile,5735 College Parkway Drive,Mobile,AL,36613-2842,2516755990,1,http://www.umobile.edu,1,2,7,2,2,2,41,1,-2, ,2,21,2,1097,Mobile County,-88.128739,30.793454
University of Montevallo,Station 6001,Montevallo,AL,35115-6000,2056656155,1,http://www.montevallo.edu,1,1,8,2,2,2,31,1,-2, ,2,21,2,1117,Shelby County,-86.86473,33.10442
Northwest Shoals Community College-Muscle Shoals,800 George Wallace Blvd,Muscle Shoals,AL,35661,2563315200,1,http://www.nwscc.edu,2,1,3,2,2,2,13,1,-2, ,4,40,2,1033,Colbert County,-87.678939,34.730351
University of North Alabama,One Harrison Plaza,Florence,AL,35632-0001,2567654100,1,http://www.una.edu,1,1,8,2,2,2,13,1,-2, ,2,21,3,1077,Lauderdale County,-87.67976,34.8072
Northeast Alabama Community College,138  Highway 35,Rainsville,AL,35986,2056384418234,1,http://www.nacc.edu,2,1,4,2,2,2,42,1,-2,"Northeast, NACC, Northeast Alabama State Junior College, Northeast Alabama State Community College",4,40,2,1049,DeKalb County,-85.849296,34.495048
Oakwood University,7000 Adventist Blvd NW,Huntsville,AL,35896,2567267000,1,http://www.oakwood.edu,1,2,7,1,2,2,12,1,-2, ,2,32,2,1089,Madison County,-86.661596,34.756663
Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,36460,25157531568252,1,http://www.ascc.edu,2,1,3,2,2,2,41,1,-2, ,4,40,2,1099,Monroe County,-87.323941,31.48897
Prince Institute of Professional Studies Inc,7735 Atlanta Hwy,Montgomery,AL,36117,3342711670203,1,http://princeinstitute.edu,2,3,3,2,-2,2,12,1,-2, ,4,40,1,1101,Montgomery County,-86.161564,32.38201
Reid State Technical College,I65 and Hwy 83,Evergreen,AL,36401,2515781313,1,http://www.rstc.cc.al.us,2,1,3,2,2,2,43,1,-2, ,4,40,1,1035,Conecuh County,-86.965527,31.45764
Bishop State Community College,351 North Broad Street,Mobile,AL,36603-5898,2514057000,1,http://www.bishop.edu,2,1,3,1,2,2,12,1,-2, ,4,40,2,1097,Mobile County,-88.056355,30.694054
Samford University,800 Lakeshore Drive,Birmingham,AL,35229-2240,2057262011,1,http://www.samford.edu,1,2,9,2,2,2,21,1,-2, ,2,21,2,1073,Jefferson County,-86.790142,33.463236
Selma University,"1501 Lapsley St, Dinkins Hall",Selma,AL,36701,3348722533,1,http://selmauniversity.org,1,2,7,1,2,2,33,1,-2, ,2,-3,1,1047,Dallas County,-87.031607,32.419785
Shelton State Community College,9500 Old Greensboro Rd,Tuscaloosa,AL,35405-8522,2053912211,1,http://www.sheltonstate.edu,2,1,3,1,2,2,13,1,-2, ,4,40,3,1125,Tuscaloosa County,-87.557337,33.119706
Snead State Community College,220 North Walnut Street,Boaz,AL,35957-0734,2565935120,1,http://www.snead.edu,2,1,3,2,2,2,32,1,-2, ,4,40,2,1095,Marshall County,-86.168184,34.200609
University of South Alabama,307 N University Blvd,Mobile,AL,36688-0002,2514606101,1,http://www.southalabama.edu,1,1,9,2,1,1,12,1,-2, ,2,16,4,1097,Mobile County,-88.174087,30.696578
Spring Hill College,4000 Dauphin St,Mobile,AL,36608-1791,2513804000,1,http://www.shc.edu,1,2,8,2,2,2,12,1,-2,Springhill|Springhill College|SHC|the Hill,2,21,2,1097,Mobile County,-88.148412,30.685751
Southeastern Bible College,2545 Valleydale Road,Birmingham,AL,35224-2083,2059709200,1,http://www.sebc.edu,1,2,5,2,2,2,21,1,-2, ,2,51,1,1117,Shelby County,-86.764053,33.364978
Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,35403,2053494240,1,http://www.stillman.edu,1,2,5,1,2,2,13,1,-2, ,2,32,2,1125,Tuscaloosa County,-87.582864,33.200716
Talladega College,627 W Battle St,Talladega,AL,35160,2567616100,1,http://www.talladega.edu,1,2,5,1,2,2,32,1,-2, ,2,31,1,1121,Talladega County,-86.112036,33.433069
H Councill Trenholm State Technical College,1225 Air Base Blvd,Montgomery,AL,36108-3199,3344204200,1,http://www.trenholmstate.edu,2,1,3,1,2,2,12,1,-2,Trenholm State,4,40,2,1101,Montgomery County,-86.344604,32.34991
Troy University,University Avenue,Troy,AL,36082-0001,3346703100,1,http://www.troy.edu,1,1,9,2,2,2,33,1,-2,TROY,2,21,5,1109,Pike County,-85.95035,31.7969
Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,AL,36088-1920,3347278011,1,http://www.tuskegee.edu,1,2,9,1,2,1,32,1,-2, ,2,21,2,1087,Macon County,-85.71794,32.41666
United States Sports Academy,One Academy Dr,Daphne,AL,36526-7055,25162633037144,1,http://www.ussa.edu,1,2,9,2,2,2,32,1,-2,The Academy |America's Sports University,2,59,1,1003,Baldwin County,-87.91202,30.64004
Bevill State Community College,1411 Indiana Avenue,Jasper,AL,35501,2053870511,1,http://www.bscc.edu,2,1,3,2,2,2,32,1,-2, ,4,40,2,1127,Walker County,-87.265034,33.835785
University of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,99508,9077861800,1,http://www.uaa.alaska.edu,1,1,8,2,2,2,11,1,-2,UAA,2,21,4,2020,Anchorage Municipality,-149.826779,61.18824
Alaska Bible College,College Rd,Glennallen,AK,99588,8223201221,3,http://www.akbible.edu/,1,2,5,2,2,2,43,1,-2, ,2,-3,1,2261,Valdez-Cordova Census Area,-145.52624,62.11296
University of Alaska Fairbanks,505 South Chandalar Drive,Fairbanks,AK,99775-7500,9074747211,1,http://www.uaf.edu,1,1,9,2,2,2,23,1,-2, ,2,16,3,2090,Fairbanks North Star Borough,-147.82475,64.857053
University of Alaska Southeast,11120 Glacier Highway,Juneau,AK,99801-8697,8774654827,1,http://www.uas.alaska.edu,1,1,7,2,2,2,33,1,-2, ,2,21,2,2110,Juneau City and Borough,-134.639195,58.381976
Alaska Pacific University,4101 University Dr,Anchorage,AK,99508,9075611266,1,http://www.alaskapacific.edu,1,2,7,2,2,2,11,1,-2, ,2,21,1,2020,Anchorage Municipality,-149.814307,61.189535
AVTEC-Alaska's Institute of Technology,809 Second Avenue,Seward,AK,99664-0889,9072243322,1,http://www.avtec.edu/,3,1,2,2,2,2,43,1,-2,AVTEC,6,-3,1,2122,Kenai Peninsula Borough,-149.443826,60.110502
Charter College-Anchorage,2221 E Northern Lights Blvd Ste 120,Anchorage,AK,99508,9072771000,1,http://www.chartercollege.edu,1,3,5,2,-2,2,11,1,-2, ,3,40,1,2020,Anchorage Municipality,-149.83999,61.195436
Prince William Sound Community College,303 Lowe Street,Valdez,AK,99686-0097,9078341600,1,http://www.pwscc.edu,2,1,3,2,2,2,43,1,-2,PWSCC,4,40,1,2261,Valdez-Cordova Census Area,-146.357096,61.133085
Career Academy,1415 E Tudor Road,Anchorage,AK,99507-1033,9075637575136,1,http://www.careeracademy.edu,3,3,2,2,-2,2,11,1,-2, ,6,-3,1,2020,Anchorage Municipality,-149.855683,61.180849
University of Alaska System of Higher Education,910 Yukon Drive,Fairbanks,AK,99775-5000,9074508000,2,http://www.alaska.edu/,1,1,9,2,2,-2,23,1,-2,UA,-2,-3,-2,2090,Fairbanks North Star Borough,-147.847787,64.858009
Everest College-Phoenix,"10400 N. 25th Avenue, Suite 190",Phoenix,AZ,85021-1641,6029424141,1,http://www.everestcollegephoenix.edu,1,3,5,2,-2,2,11,1,-2,Academy of Business College | |Rhodes College,3,40,3,4013,Maricopa County,-112.113531,33.580955
Collins College,4750 S 44th Place,Phoenix,AZ,85040,4809663000,1,http://www.collinscollege.edu,1,3,5,2,-2,2,11,1,-2, ,2,56,2,4013,Maricopa County,-111.98646,33.40334
Empire Beauty School-Paradise Valley,12827 N Tatum Blvd,Phoenix,AZ,85032,57042943212414,1,http://www.empire.edu,3,3,2,2,-2,2,11,1,-2, ,6,-3,1,4013,Maricopa County,-111.978446,33.602489
Empire Beauty School-Tucson,3030 E Speedway Blvd,Tucson,AZ,85716,57042943212414,1,http://www.empire.edu,3,3,2,2,-2,2,11,1,-2, ,6,-3,1,4019,Pima County,-110.927873,32.235959
Thunderbird School of Global Management,1 Global Place,Glendale,AZ,85306-6000,6029787000,1,http://www.thunderbird.edu,1,2,8,2,2,2,12,1,-2,Thunderbird,1,55,2,4013,Maricopa County,-112.182574,33.622947
American Indian College of the Assemblies of God Inc,10020 N 15th Ave,Phoenix,AZ,85021,6029443335,1,http://www.aicag.edu/,1,2,5,2,2,2,11,1,-2, ,3,51,1,4013,Maricopa County,-112.091236,33.577578
American Institute of Technology,440 S 54th Avenue,Phoenix,AZ,85043-4729,6022332222,1,http://www.ait-schools.com,3,3,1,2,-2,2,41,1,-2, ,6,-3,1,4013,Maricopa County,-112.175284,33.442432
Carrington College-Phoenix,8503 N 27th Ave,Phoenix,AZ,85051-4063,6023935900,1,http://www.carrington.edu,2,3,3,2,-2,2,11,1,-2,Formerly Apollo College-Phoenix Inc,4,-3,1,4013,Maricopa County,-112.116921,33.561821
Carrington College-Mesa,630 West Southern Avenue,Mesa,AZ,85210,4802121600,1,,2,3,4,2,-2,2,11,1,-2, ,4,-3,2,4013,Maricopa County,-111.845197,33.393316
Carrington College-Tucson,3550 N Oracle Rd.,Tucson,AZ,85705-5885,5208885885,1,http://www.carrington.edu,2,3,3,2,-2,2,11,1,-2, ,4,-3,1,4019,Pima County,-110.978011,32.270954
College America-Flagstaff,3012 East Route 66,Flagstaff,AZ,86004,92821360601400,1,http://www.collegeamerica.edu,1,3,5,2,-2,2,13,1,-2, ,3,-3,1,4005,Coconino County,-111.606672,35.209765
Arizona Academy of Beauty-East,5631 E Speedway Blvd,Tucson,AZ,85712,5208854120,1,http://www.arizonaacademy.com,3,3,2,2,-2,2,11,1,-2, ,6,-3,1,4019,Pima County,-110.871281,32.236258
Arizona Automotive Institute,6829 N 46th Ave,Glendale,AZ,85301-3579,6239347273,1,http://www.aai.edu,2,3,4,2,-2,2,12,1,-2,Arizona Automotive Institute,6,40,2,4013,Maricopa County,-112.15781,33.536413
Brookline College-Phoenix,2445 W. Dunlap Ave.,Phoenix,AZ,85021,6022426265,1,http://www.brooklinecollege.edu,1,3,5,2,-2,2,11,1,-2, ,3,40,2,4013,Maricopa County,-112.112382,33.56756
Arizona State University, ,Tempe,AZ,85287,4809659011,1,http://www.asu.edu/,1,1,9,2,2,2,12,1,-2,ASU,2,15,5,4013,Maricopa County,-111.932128,33.417515
Arizona Western College,2020 S. Avenue 8E,Yuma,AZ,85365-8834,9283176000,1,http://www.azwestern.edu,2,1,3,2,2,2,31,1,-2,"AWC, A.W.C., AZ Western, AZ Western College, Arizona Western, Yuma/LaPaz Community College District",4,40,3,4027,Yuma County,-114.49618,32.69022
University of Arizona,1401 E University,Tucson,AZ,85721-0066,5206212211,1,http://www.arizona.edu,1,1,9,2,2,1,11,1,-2,"UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|",2,15,5,4019,Pima County,-110.950875,32.232112
The Art Center Design College-Tucson,2525 N Country Club Rd,Tucson,AZ,85716,5203250123,1,http://www.theartcenter.edu,1,3,5,2,-2,2,11,1,-2, ,2,40,1,4019,Pima County,-110.926828,32.252507
Brillare Hairdressing Academy,7201 E. Camelback #100,Scottsdale,AZ,85251,4809944222,1,http://www.attheacademy.com/,3,3,2,2,-2,2,12,1,-2, ,6,-3,1,4013,Maricopa County,-111.925323,33.50225
Central Arizona College,8470 N Overfield Rd,Coolidge,AZ,85128-9030,5204945444,1,http://www.centralaz.edu,2,1,3,2,2,2,42,1,-2,Pinal County Community College,4,40,3,4021,Pinal County,-111.652297,32.95582
Brown Mackie College-Tucson,4585 E Speedway Blvd.,Tucson,AZ,85712,5203193300,1,http://www.brownmackie.edu,1,3,5,2,-2,2,11,1,-2, ,3,55,1,4019,Pima County,-110.895053,32.236286
Charles of Italy Beauty College,"1987 McCulloch Blvd, Suite 205",Lake Havasu City,AZ,86403,9284536666,1,http://www.charlesofitaly.edu,3,3,2,2,-2,2,33,1,-2, ,6,-3,1,4015,Mohave County,-114.328115,34.475229
Cochise College,4190 W Highway 80,Douglas,AZ,85607-9724,5205150500,1,http://www.cochise.edu,2,1,3,2,2,2,42,1,-2, ,4,40,3,4003,Cochise County,-109.668765,31.361359
Empire Beauty School-Flagstaff,1790 E Rte 66,Flagstaff,AZ,86004,57042943212414,1,http://www.empire.edu,3,3,2,2,-2,2,13,1,-2, ,6,-3,1,4005,Coconino County,-111.626367,35.195723
Empire Beauty School-Chandler,2978 N Alma School Rd  Stes 1-3,Chandler,AZ,85224,57042943212414,1,http://www.empire.edu,3,3,2,2,-2,2,21,1,-2, ,6,-3,1,4013,Maricopa County,-111.859237,33.349019
Cortiva Institute-Tucson,"6390 E. Broadway, Suite 100",Tucson,AZ,85710,5204075160,1,http://www.cortiva.com/,3,3,2,2,-2,2,11,1,-2, ,6,-3,1,4019,Pima County,-110.856548,32.220975
DeVry University-Arizona,2149 W Dunlap Ave,Phoenix,AZ,85021-2995,6028709222,1,http://www.devry.edu,1,3,7,2,-2,2,11,1,-2,DeVry University-Mesa |DeVry University-Phoenix |DeVry University-Northeast Phoenix |DeVry University-Glendale,2,54,2,4013,Maricopa County,-112.104979,33.567573
Avalon School of Cosmetology,2111 S Alma School Rd Ste 21,Mesa,AZ,85210,4808971688,1,http://www.theavalonschool.com,3,3,2,2,-2,2,11,1,-2, ,6,-3,1,4013,Maricopa County,-111.859667,33.376506
Eastern Arizona College,615 N. Stadium Ave.,Thatcher,AZ,85552-0769,9284288322,1,http://www.eac.edu,2,1,3,2,2,2,33,1,-2, ,4,40,3,4009,Graham County,-109.763017,32.84242
Embry Riddle Aeronautical University-Prescott,3700 Willow Creek Road,Prescott,AZ,86301-3720,9287773728,1,http://www.erau.edu,1,2,7,2,-2,2,13,1,-2, ,2,-3,2,4025,Yavapai County,-112.445315,34.615181
Frank Lloyd Wright School of Architecture,Taliesin West,Scottsdale,AZ,85261,4808602700,1,http://www.taliesin.edu,1,2,7,2,2,2,12,1,-2, ,2,-3,1,4013,Maricopa County,-111.846477,33.60715
Glendale Community College,6000 W Olive Ave,Glendale,AZ,85302,6238453000,1,http://www.gc.maricopa.edu,2,1,3,2,2,2,12,1,-2, ,4,40,5,4013,Maricopa County,-112.188466,33.567524
Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,8008009776,1,http://www.gcu.edu,1,3,9,2,-2,2,11,1,-2, ,2,21,5,4013,Maricopa County,-112.129876,33.509446
Anthem College-Phoenix,1515 E Indian School Road,Phoenix,AZ,85014,6022799700,1,http://www.anthem.edu,1,3,5,2,-2,2,11,1,-2,High-Tech Institute,3,40,2,4013,Maricopa County,-112.050333,33.4947
International Academy of Hair Design,3350 N Arizona Ave  Ste 4,Chandler,AZ,85225-7198,4808209422,1,http://www.intlacademy.biz,3,3,2,2,-2,2,21,1,-2, ,6,-3,1,4013,Maricopa County,-111.841802,33.354361
Lamson College,875 W. Elliot Road Suite 206,Tempe,AZ,85284,4808987000,1,http://www.lamsoncollege.edu,2,3,3,2,-2,2,12,1,-2, ,4,40,1,4013,Maricopa County,-111.95313,33.349029
Kaplan College-Phoenix,"13610 N Black Canyon Hwy,  Ste 104",Phoenix,AZ,85029,6025481955,1,http://www.kc-phoenix.com,2,3,4,2,-2,2,11,1,-2, ,4,40,1,4013,Maricopa County,-112.117258,33.609028
Maricopa Beauty College LLC,515 W Western Ave,Avondale,AZ,85323,6239324414,1,http://www.maricopabeautycollege.com,3,3,2,2,-2,2,23,1,-2, ,6,-3,1,4013,Maricopa County,-112.355232,33.435281
Maricopa Community College System Office,2411 W 14th St,Tempe,AZ,85281-6942,4807318000,2,http://www.dist.maricopa.edu,2,1,4,2,2,-2,41,1,-2, ,-2,-3,-2,4013,Maricopa County,-111.97543,33.413592
GateWay Community College,108 N. 40th Street,Phoenix,AZ,85034,6023925000,1,http://www.gwc.maricopa.edu,2,1,4,2,2,2,11,1,-2, ,4,40,3,4013,Maricopa County,-111.995403,33.449261
Mesa Community College,1833 W Southern Ave,Mesa,AZ,85202,4804617000,1,http://www.mesacc.edu,2,1,3,2,2,2,11,1,-2, ,4,40,5,4013,Maricopa County,-111.871413,33.392945
ITT Technical Institute-Tucson,1455 W. River Rd,Tucson,AZ,85704-5829,5204087488,1,http://www.itt-tech.edu,1,3,5,2,-2,2,21,1,-2, ,3,40,1,4019,Pima County,-110.997501,32.297261
ITT Technical Institute-Tempe,5005 S. Wendler Drive,Tempe,AZ,85282,6024377500,1,http://www.itt-tech.edu,1,3,5,2,-2,2,12,1,-2, ,3,54,1,4013,Maricopa County,-111.969736,33.380254
Mohave Community College,1971 Jagerson Ave,Kingman,AZ,86409-1238,9287574331,1,http://www.mohave.edu,2,1,3,2,2,2,41,1,-2, ,4,40,3,4015,Mohave County,-114.022914,35.268508
Universal Technical Institute-Motorcycle Mechanics Institute Division,2844 W Deer Valley Rd,Phoenix,AZ,85027,6238699644,1,http://uti.edu/,2,3,4,2,-2,2,11,1,-2,Universal Technical Institute |Motorcycle Mechanics Institute |MMI-Phoenix |MMI-AZ,6,-3,2,4013,Maricopa County,-112.121476,33.683844
Dine College, ,Tsaile,AZ,86556,9287246600,1,http://www.dinecollege.edu,1,1,5,2,2,2,43,1,-2, ,3,60,2,4001,Apache County,-109.21009,36.301684
Northern Arizona University,"Knoles Drive, Babbitt Administrative Center",Flagstaff,AZ,86011-4132,9285239011,1,http://home.nau.edu/,1,1,9,2,2,2,13,1,-2,NAU,2,16,5,4005,Coconino County,-111.65582,35.19398
Northland Pioneer College,2251 E. Navajo Blvd.,Holbrook,AZ,86025-0610,9285247600,1,http://www.npc.edu,2,1,3,2,2,2,41,1,-2,NPC,4,40,2,4017,Navajo County,-110.132719,34.936766
Ottawa University-Phoenix,10020 North 25th Avenue,Phoenix,AZ,85021,6023711188,1,http://www.ottawa.edu,1,2,8,2,-2,2,11,1,-2,OU - Phoenix |OU - Arizona |OUAZ,2,-3,2,4013,Maricopa County,-112.113493,33.577812
Phoenix College,1202 W Thomas Rd,Phoenix,AZ,85013,6022642492,1,http://www.pc.maricopa.edu,2,1,3,2,2,2,11,1,-2, ,4,40,4,4013,Maricopa County,-112.088334,33.480476
Cortiva Institute-Scottsdale,8010 East McDowell Road #214,Scottsdale,AZ,85257,4809459461,1,http://cortiva.com,3,3,1,2,-2,2,12,1,-2,Cortiva Institute (Phoenix) LLC,6,-3,1,4013,Maricopa County,-111.908192,33.46588
University of Phoenix-Phoenix-Hohokam Campus,4635 E Elwood St,Phoenix,AZ,85040-1958,4805572000,1,http://www.phoenix.edu,1,3,8,2,-2,2,41,1,-2, ,2,55,3,4013,Maricopa County,-111.979941,33.413016
Pima Community College,401 North Bonita Avenue,Tucson,AZ,85709-5000,5202064500,1,http://www.pima.edu,2,1,3,2,2,2,11,1,-2,Pima County Community College District,4,40,5,4019,Pima County,-110.985014,32.226881
Pima Medical Institute-Tucson,"3350 East Grant Road, Suite 200",Tucson,AZ,85716,5203261600,1,http://www.pmi.edu/locations/tucson.asp,1,3,5,2,-2,2,11,1,-2, ,3,-3,2,4019,Pima County,-110.921331,32.250463
